Terms,Frequency absolute,,Frequency Relative
!bet,2780,,"2,79906160956111"
the,2334,,"2,35000352399843"
!points,1854,,"1,8667123108368"
is,1408,,"1,41765422527412"
you,1398,,"1,40758565833325"
a,1369,,"1,37838681420473"
to,1187,,"1,19513889588095"
no,1080,,"1,08740522961367"
it,880,,"0,886033890796323"
on,857,,"0,862876186832328"
yes,854,,"0,859855616750068"
500,838,,"0,84374590964468"
and,830,,"0,835691056091986"
in,751,,"0,756149377259135"
for,721,,"0,725943676436533"
i,646,,"0,650429424380028"
of,634,,"0,638347144050987"
this,584,,"0,588004309346651"
all,582,,"0,585990595958477"
KEKW,572,,"0,57592202901761"
I,561,,"0,564846605382656"
that,475,,"0,478256929691197"
have,448,,"0,451071798950855"
LUL,414,,"0,416838671351906"
game,414,,"0,416838671351906"
not,397,,"0,399722107552432"
do,380,,"0,382605543752958"
like,367,,"0,36951640672983"
with,366,,"0,368509550035743"
u,358,,"0,36045469648305"
get,343,,"0,345351846071749"
can,340,,"0,342331275989488"
good,339,,"0,341324419295402"
was,338,,"0,340317562601315"
we,337,,"0,339310705907228"
1000,333,,"0,335283279130881"
so,322,,"0,324207855495927"
its,319,,"0,321187285413667"
bonus,311,,"0,313132431860973"
are,310,,"0,312125575166886"
be,297,,"0,299036438143759"
masse,296,,"0,298029581449672"
Masse,281,,"0,282926731038371"
100,273,,"0,274871877485677"
win,265,,"0,266817023932984"
750,265,,"0,266817023932984"
some,259,,"0,260775883768463"
one,259,,"0,260775883768463"
just,259,,"0,260775883768463"
will,254,,"0,25574160029803"
or,252,,"0,253727886909856"
from,249,,"0,250707316827596"
he,246,,"0,247686746745336"
1,239,,"0,240638749886729"
Ante,231,,"0,232583896334035"
new,230,,"0,231577039639948"
what,226,,"0,227549612863601"
2,223,,"0,224529042781341"
now,221,,"0,222515329393167"
if,219,,"0,220501616004994"
!join,218,,"0,219494759310907"
?,214,,"0,21546733253456"
my,212,,"0,213453619146387"
more,211,,"0,2124467624523"
at,211,,"0,2124467624523"
Sebbe,208,,"0,20942619237004"
lol,208,,"0,20942619237004"
they,207,,"0,208419335675953"
your,206,,"0,207412478981866"
need,206,,"0,207412478981866"
up,205,,"0,20640562228778"
but,203,,"0,204391908899606"
buy,202,,"0,20338505220552"
Kappa,201,,"0,202378195511433"
stream,198,,"0,199357625429173"
how,197,,"0,198350768735086"
ante,197,,"0,198350768735086"
bet,196,,"0,197343912040999"
go,192,,"0,193316485264652"
max,188,,"0,189289058488305"
when,185,,"0,186268488406045"
[Mención directa al streamer],183,,"0,184254775017872"
3,182,,"0,183247918323785"
play,181,,"0,182241061629698"
did,179,,"0,180227348241525"
YEP,175,,"0,176199921465178"
points,175,,"0,176199921465178"
:D,166,,"0,167138211218397"
garga1,165,,"0,166131354524311"
year,163,,"0,164117641136137"
nice,162,,"0,16311078444205"
200,159,,"0,16009021435979"
only,157,,"0,158076500971617"
:),157,,"0,158076500971617"
spins,156,,"0,15706964427753"
me,156,,"0,15706964427753"
You,152,,"0,153042217501183"
vs,151,,"0,152035360807096"
big,146,,"0,147001077336663"
time,145,,"0,145994220642576"
??,145,,"0,145994220642576"
got,143,,"0,143980507254402"
as,142,,"0,142973650560316"
then,141,,"0,141966793866229"
!store,141,,"0,141966793866229"
had,140,,"0,140959937172142"
The,136,,"0,136932510395795"
see,136,,"0,136932510395795"
dont,136,,"0,136932510395795"
sebbe,134,,"0,134918797007622"
last,134,,"0,134918797007622"
slot,130,,"0,130891370231275"
<3,128,,"0,128877656843102"
best,127,,"0,127870800149015"
bass,126,,"0,126863943454928"
has,125,,"0,125857086760841"
EZ,125,,"0,125857086760841"
POLICE,123,,"0,123843373372668"
olympus,123,,"0,123843373372668"
try,118,,"0,118809089902234"
think,118,,"0,118809089902234"
there,118,,"0,118809089902234"
