,Date,Time,Username,Message,Sentiment,Time from Start
3263,2022-12-21,16:08:51,ffrenkk_,helllo swagger,5,0
4508,2022-12-21,16:08:54,SKuLLn1,BloodTrail,7,0
541,2022-12-21,16:08:59,Ackooo1337,wassa,5,0
3063,2022-12-21,16:09:07,Ackooo1337,how are you today,6,0
2855,2022-12-21,16:09:32,SKuLLn1,im fine dude and about u ??,7,0
3410,2022-12-21,16:09:48,tatamii551,good luckk broo,8,0
2505,2022-12-21,16:10:05,SKuLLn1,LUL,5,1
41,2022-12-21,16:10:16,peaceandlove444,yow bro,6,1
2939,2022-12-21,16:10:30,peaceandlove444,i have responded on your dm much love,8,1
120,2022-12-21,16:10:32,cassluuu,yoo,6,1
115,2022-12-21,16:10:39,4rc44,yooo,6,1
3512,2022-12-21,16:10:42,4rc44,glgl,8,1
116,2022-12-21,16:10:45,Davsick,yooo,6,1
3254,2022-12-21,16:10:50,Pata1G,hello,5,1
3255,2022-12-21,16:11:10,strix_daniel,HELLO,7,2
4331,2022-12-21,16:11:32,Pata1G,Clappy,6,2
3921,2022-12-21,16:11:40,Pata1G,finish my sausage,5,2
4009,2022-12-21,16:11:58,radikalnyyy,Eyo,6,3
160,2022-12-21,16:12:03,Pata1G,yes good,7,3
3192,2022-12-21,16:12:13,princetobo3,hey xeri waddup,5,3
124,2022-12-21,16:12:28,Strangechol,yo waddup hello sup,7,3
5305,2022-12-21,16:12:30,Strangechol,:),8,3
406,2022-12-21,16:12:32,radikalnyyy,would you suck mic today again please?,5,3
412,2022-12-21,16:12:35,fantousek,wodam xeri,5,3
3129,2022-12-21,16:12:40,adas334cz,hii,7,3
594,2022-12-21,16:12:55,Pata1G,u need to clear whole screen to bonus,5,4
3256,2022-12-21,16:13:11,jen1sek,Hello,7,4
843,2022-12-21,16:13:24,lot_of_damage,sup,7,4
3130,2022-12-21,16:13:24,yaksenep,hii,7,4
2472,2022-12-21,16:13:26,strix_daniel,maby buy bonus?,5,4
1175,2022-12-21,16:13:27,Pata1G,ramsays revenge i think,7,4
2604,2022-12-21,16:13:28,Flagtarson,lets goo,8,4
622,2022-12-21,16:13:29,Ackooo1337,try out muertos,7,4
3529,2022-12-21,16:13:34,elodogriza,gl guys,8,4
1708,2022-12-21,16:13:41,princetobo3,pissed won 100K and only deposited 3K ResidentSleeper,5,4
668,2022-12-21,16:13:45,radikalnyyy,today forge of gems finally? nehehe,7,4
669,2022-12-21,16:13:54,Strangechol,today 8k cashout?,7,5
4979,2022-12-21,16:13:55,michko,@princetobo3 the max win is 10000x bro,7,5
4981,2022-12-21,16:13:56,Davsick,@princetobo3 it was only 10k win,7,5
942,2022-12-21,16:14:01,michko,so he didnt get it,5,5
3225,2022-12-21,16:14:03,roseingrotte1,hello mate,7,5
1977,2022-12-21,16:14:05,princetobo3,oh rly,2,5
778,2022-12-21,16:14:08,princetobo3,that is sad,5,5
4154,2022-12-21,16:14:11,princetobo3,didnt knew,7,5
3558,2022-12-21,16:14:14,roseingrotte1,gl,8,5
