Terms,Frequency absolute,Frequency Relative
zyzzRave,19,"0,138272323702787"
zyzzPls,1,"0,00727749072119933"
zyzzDancezyzzDancezyzzDancezyzzDancezyzzDancezyzzDancezyzzDancezyzzDancezyzzDancezyzzDancezyzzDancezyzzDancezyzzDancezyzzDance,1,"0,00727749072119933"
zyzzDance,32,"0,232879703078379"
zyzz,1,"0,00727749072119933"
ZWEAR,1,"0,00727749072119933"
zooombie,1,"0,00727749072119933"
zombie,2,"0,0145549814423987"
Zombie,1,"0,00727749072119933"
zeuss,5,"0,0363874536059967"
zeus,3,"0,021832472163598"
Zero,1,"0,00727749072119933"
zerii,1,"0,00727749072119933"
zeri,1,"0,00727749072119933"
zeplin,1,"0,00727749072119933"
ze,1,"0,00727749072119933"
Z,1,"0,00727749072119933"
yoyooo,1,"0,00727749072119933"
yoyo,1,"0,00727749072119933"
yow,1,"0,00727749072119933"
youu,1,"0,00727749072119933"
youtube,2,"0,0145549814423987"
yourself,2,"0,0145549814423987"
youre,1,"0,00727749072119933"
your,14,"0,101884870096791"
you?,3,"0,021832472163598"
you,184,"1,33905829270068"
You,7,"0,0509424350483953"
YOU,2,"0,0145549814423987"
yoooooooooooo,1,"0,00727749072119933"
yooooooooo,1,"0,00727749072119933"
yoooo,7,"0,0509424350483953"
yooo,11,"0,0800523979331926"
Yooo,1,"0,00727749072119933"
yoo,2,"0,0145549814423987"
yo,13,"0,0946073793755913"
yk,1,"0,00727749072119933"
yikes,5,"0,0363874536059967"
YIKES,2,"0,0145549814423987"
yield,1,"0,00727749072119933"
yeye,1,"0,00727749072119933"
yesterday,7,"0,0509424350483953"
YESSSSSSSSSSSS,1,"0,00727749072119933"
yessssssssss,1,"0,00727749072119933"
yessss,2,"0,0145549814423987"
yesss,5,"0,0363874536059967"
yess,5,"0,0363874536059967"
yes,38,"0,276544647405575"
YES,2,"0,0145549814423987"
yeri,1,"0,00727749072119933"
yeppp,1,"0,00727749072119933"
YEP,14,"0,101884870096791"
yep,5,"0,0363874536059967"
yelloww,1,"0,00727749072119933"
yeh,1,"0,00727749072119933"
Yeh,1,"0,00727749072119933"
yeezy,1,"0,00727749072119933"
yeees,2,"0,0145549814423987"
yeeees,2,"0,0145549814423987"
YEEEES,1,"0,00727749072119933"
yeeeees,1,"0,00727749072119933"
yeeeeees?,1,"0,00727749072119933"
yeeeeeeees,1,"0,00727749072119933"
YEEEEEEEEEEES,1,"0,00727749072119933"
yeeeeeeee,1,"0,00727749072119933"
yeeeeee,1,"0,00727749072119933"
yeeeeea,1,"0,00727749072119933"
yeee,1,"0,00727749072119933"
year,2,"0,0145549814423987"
YEAR,1,"0,00727749072119933"
yeahhh,1,"0,00727749072119933"
yeah,23,"0,167382286587585"
Yeah,1,"0,00727749072119933"
yeaa,1,"0,00727749072119933"
yea,12,"0,087329888654392"
Yea,1,"0,00727749072119933"
ye,8,"0,0582199257695946"
Ye,1,"0,00727749072119933"
yaes,1,"0,00727749072119933"
ya,6,"0,043664944327196"
y,4,"0,0291099628847973"
xyvyxvmlyxv,1,"0,00727749072119933"
xways,1,"0,00727749072119933"
xqcL,2,"0,0145549814423987"
XPFOAKWEFOKEWAFMOEWAFM,1,"0,00727749072119933"
xmas,1,"0,00727749072119933"
Xmas,1,"0,00727749072119933"
xjackpVS,19,"0,138272323702787"
xeriW,2,"0,0145549814423987"
xeriTalk,4,"0,0291099628847973"
xeriSlam,1,"0,00727749072119933"
xeriMonka,2,"0,0145549814423987"
xeriL,1,"0,00727749072119933"
xerii,3,"0,021832472163598"
xeriGasm,1,"0,00727749072119933"
xeriffier,1,"0,00727749072119933"
xerifff,1,"0,00727749072119933"
xerifferrrr,1,"0,00727749072119933"
xeriffer,11,"0,0800523979331926"
Xeriffer,1,"0,00727749072119933"
xeriff,2,"0,0145549814423987"
xeriEZ,2,"0,0145549814423987"
xeri?,2,"0,0145549814423987"
xeri,42,"0,305654610290372"
Xeri,14,"0,101884870096791"
XERI,4,"0,0291099628847973"
XER?,1,"0,00727749072119933"
xer,2,"0,0145549814423987"
xddddddddddddddd,1,"0,00727749072119933"
XDDDDDDDDDDDD,1,"0,00727749072119933"
xDDDDDDDDDD,2,"0,0145549814423987"
xDDDDDDDDD,1,"0,00727749072119933"
xddddddddd,1,"0,00727749072119933"
xDDDDDDDD,1,"0,00727749072119933"
xddddddd,2,"0,0145549814423987"
XDDDDDDD,2,"0,0145549814423987"
xDDDDDDD,2,"0,0145549814423987"
xDDDDDD,1,"0,00727749072119933"
xddddd,1,"0,00727749072119933"
