Terms,Frequency absolute,Frequency Relative
o,1544,"1,80140238709151"
?,1340,"1,56339326340843"
de,1295,"1,51089125083128"
<3,1171,"1,36621903839647"
e,1094,"1,27638226132002"
a,1018,"1,18771219563417"
que,868,"1,01270548704367"
no,761,"0,887867368249116"
vai,706,"0,823698241765934"
eu,658,"0,767696095016976"
do,643,"0,750195424157926"
pra,627,"0,731528041908273"
na,618,"0,721027639392843"
da,596,"0,695359988799571"
ele,515,"0,600856366160703"
[Emote Personalizado 13],511,"0,59618952059829"
um,506,"0,590355963645273"
skip,501,"0,584522406692257"
@[Mención Directa],460,"0,536687239677521"
com,450,"0,525020125771488"
tem,435,"0,507519454912438"
ta,418,"0,487685361272182"
q,394,"0,459684287897703"
LUL,385,"0,449183885382273"
em,379,"0,442183617038653"
?,364,"0,424682946179604"
se,352,"0,410682409492364"
[Emote Personalizado 36],338,"0,394348450023918"
mais,330,"0,385014758899091"
n?o,327,"0,381514624727281"
STRIKE,297,"0,346513283009182"
ai,294,"0,343013148837372"
DIAMANT,293,"0,341846437446769"
uma,281,"0,327845900759529"
nao,279,"0,325512477978322"
esse,266,"0,310345229900479"
O,262,"0,305678384338066"
vc,260,"0,30334496155686"
s?,245,"0,28584429069781"
n,241,"0,281177445135397"
t?,223,"0,260176640104537"
os,222,"0,259009928713934"
isso,218,"0,254343083151521"
[Emote Personalizado 53],201,"0,234508989511265"
muito,201,"0,234508989511265"
@[mención directa],199,"0,232175566730058"
kkkk,194,"0,226342009777041"
f,190,"0,221675164214628"
2,189,"0,220508452824025"
cara,189,"0,220508452824025"
F,183,"0,213508184480405"
A,182,"0,212341473089802"
meu,180,"0,210008050308595"
3,178,"0,207674627527389"
E,178,"0,207674627527389"
ano,175,"0,204174493355579"
1,170,"0,198340936402562"
DE,168,"0,196007513621355"
foi,166,"0,193674090840149"
ja,166,"0,193674090840149"
VAI,164,"0,191340668058942"
bom,163,"0,190173956668339"
essa,162,"0,189007245277736"
tudo,161,"0,187840533887132"
tu,158,"0,184340399715322"
live,157,"0,183173688324719"
blaze,155,"0,180840265543512"
Skip,155,"0,180840265543512"
me,154,"0,179673554152909"
novo,151,"0,176173419981099"
por,150,"0,175006708590496"
banca,145,"0,169173151637479"
kkk,145,"0,169173151637479"
kkkkkk,143,"0,166839728856273"
Vai,141,"0,164506306075066"
DO,140,"0,163339594684463"
ou,140,"0,163339594684463"
como,138,"0,161006171903256"
paga,138,"0,161006171903256"
bonus,137,"0,159839460512653"
joga,137,"0,159839460512653"
jogo,137,"0,159839460512653"
kkkkk,137,"0,159839460512653"
j?,134,"0,156339326340843"
subscribed,133,"0,15517261495024"
[Emote Personalizado 60],132,"0,154005903559636"
NO,130,"0,15167248077843"
roleta,128,"0,149339057997223"
dinheiro,126,"0,147005635216017"
mas,124,"0,14467221243481"
l?,123,"0,143505501044207"
kkkkkkk,121,"0,141172078263"
la,120,"0,140005366872397"
b?nus,119,"0,138838655481793"
ser,119,"0,138838655481793"
mega,117,"0,136505232700587"
SKIP,117,"0,136505232700587"
sim,116,"0,135338521309984"
a?,115,"0,13417180991938"
para,115,"0,13417180991938"
boa,114,"0,133005098528777"
TwitchUnity,113,"0,131838387138174"
agora,112,"0,13067167574757"
nem,112,"0,13067167574757"
mil,110,"0,128338252966364"
as,109,"0,12717154157576"
so,108,"0,126004830185157"
aqui,107,"0,124838118794554"
kkkkkkkk,106,"0,12367140740395"
kkkkkkkkk,106,"0,12367140740395"
seu,106,"0,12367140740395"
quem,105,"0,122504696013347"
4,102,"0,119004561841537"
faz,101,"0,117837850450934"
dia,100,"0,116671139060331"
mano,97,"0,113171004888521"
ter,96,"0,112004293497917"
",",95,"0,110837582107314"
Eu,95,"0,110837582107314"
pro,95,"0,110837582107314"
kkkkkkkkkkkk,94,"0,109670870716711"
[Emote Personalizado 59],93,"0,108504159326107"
minha,93,"0,108504159326107"
kkkkkkkkkk,92,"0,107337447935504"
10,91,"0,106170736544901"
[Emote Personalizado 38],91,"0,106170736544901"
[Emote Personalizado 64],90,"0,105004025154298"
at?,90,"0,105004025154298"
pq,90,"0,105004025154298"
5,88,"0,102670602373091"
Kappa,87,"0,101503890982488"
pode,87,"0,101503890982488"
7,86,"0,100337179591884"
te,86,"0,100337179591884"
kkkkkkkkkkk,85,"0,0991704682012811"
fazer,84,"0,0980037568106777"
reais,84,"0,0980037568106777"
ela,83,"0,0968370454200744"
nada,83,"0,0968370454200744"
cabrito,82,"0,0956703340294711"
ia,82,"0,0956703340294711"
THOR,82,"0,0956703340294711"
po,81,"0,0945036226388678"
sua,81,"0,0945036226388678"
QUE,80,"0,0933369112482645"
BLOC,79,"0,0921701998576612"
conta,79,"0,0921701998576612"
deu,79,"0,0921701998576612"
melhor,78,"0,0910034884670579"
vem,78,"0,0910034884670579"
ad,77,"0,0898367770764546"
chat,77,"0,0898367770764546"
Fire,77,"0,0898367770764546"
sou,77,"0,0898367770764546"
voc?,77,"0,0898367770764546"
vou,77,"0,0898367770764546"
kkkkkkkkkkkkkk,76,"0,0886700656858513"
EU,75,"0,087503354295248"
to,75,"0,087503354295248"
for,74,"0,0863366429046447"
kk,74,"0,0863366429046447"
30,73,"0,0851699315140414"
[Emote Personalizado 49],73,"0,0851699315140414"
porra,73,"0,0851699315140414"
100,72,"0,0840032201234381"
[Emote Personalizado 43],72,"0,0840032201234381"
[Emote Personalizado 5],71,"0,0828365087328348"
gabepeixeLaele,71,"0,0828365087328348"
perdeu,71,"0,0828365087328348"
rush,71,"0,0828365087328348"
!!!,70,"0,0816697973422315"
feliz,70,"0,0816697973422315"
kkkkkkkkkkkkk,70,"0,0816697973422315"
ban,69,"0,0805030859516281"
era,68,"0,0793363745610248"
sem,68,"0,0793363745610248"
!prime,67,"0,0781696631704215"
??,67,"0,0781696631704215"
crazy,67,"0,0781696631704215"
HOLE,67,"0,0781696631704215"
kkkkkkkkkkkkkkk,67,"0,0781696631704215"
sabe,67,"0,0781696631704215"
-,66,"0,0770029517798182"
mesmo,66,"0,0770029517798182"
MINEIRO,66,"0,0770029517798182"
PRA,66,"0,0770029517798182"
TA,66,"0,0770029517798182"
[Emote Personalizado 57],65,"0,0758362403892149"
